C,Month,Last,Change,Prior Settle,Open,High,Low,Volume,Hi / Low Limit,Updated
COMEX:GCJ2018,Apr-18,1333,-3.3,1336.3,1335.2,1337.3,1333,25,1445.0 / 1265.0,21:15:48 CT
COMEX:GCK2018,May-18,1332.7,-4.4,1337.1,1336.9,1338.6,1331.3,112,1427.1 / 1247.1,00:46:09 CT
COMEX:GCM2018,Jun-18,1335.6,-4.5,1340.1,1339.8,1341.9,1334.2,"52,676",1430.1 / 1250.1,00:48:21 CT
-,Jul-18,-,-,-,-,-,-,0,No Limit / No Limit,-
COMEX:GCQ2018,Aug-18,1341.6,-4.6,1346.2,1345.7,1347.1,1340.6,108,1436.2 / 1256.2,00:42:37 CT
COMEX:GCV2018,Oct-18,-,-,1352.3,-,-,-,4,1442.3 / 1262.3,23:06:58 CT
COMEX:GCZ2018,Dec-18,1353.9,-5,1358.9,1358.5,1360,1353.9,"1,159",1448.9 / 1268.9,00:39:18 CT
COMEX:GCG2019,Feb-19,1364.3,-0.9,1365.2,1364.3,1364.3,1364.3,1,1455.2 / 1275.2,20:31:49 CT
COMEX:GCJ2019,Apr-19,-,-,1371.5,-,-,-,0,1461.5 / 1281.5,20:31:49 CT
COMEX:GCM2019,Jun-19,-,-,1378.1,-,-,-,0,1468.1 / 1288.1,20:31:49 CT
COMEX:GCQ2019,Aug-19,-,-,1384.9,-,-,-,0,1474.9 / 1294.9,20:31:49 CT
COMEX:GCV2019,Oct-19,-,-,1391.7,-,-,-,0,1481.7 / 1301.7,20:31:49 CT
COMEX:GCZ2019,Dec-19,-,-,1398.5,-,-,-,0,1488.5 / 1308.5,20:31:49 CT
COMEX:GCG2020,Feb-20,-,-,1405.1,-,-,-,0,1495.1 / 1315.1,18:18:53 CT
COMEX:GCM2020,Jun-20,-,-,1418.6,-,-,-,0,1508.6 / 1328.6,20:31:49 CT
COMEX:GCZ2020,Dec-20,-,-,1439.6,-,-,-,0,1529.6 / 1349.6,20:31:49 CT
COMEX:GCM2021,Jun-21,-,-,1460.6,-,-,-,0,1550.6 / 1370.6,20:31:49 CT
COMEX:GCZ2021,Dec-21,-,-,1481.1,-,-,-,0,1571.1 / 1391.1,20:31:49 CT
COMEX:GCM2022,Jun-22,-,-,1501.7,-,-,-,0,1591.7 / 1411.7,20:31:49 CT
COMEX:GCZ2022,Dec-22,-,-,1521.6,-,-,-,0,1611.6 / 1431.6,20:31:49 CT
COMEX:GCM2023,Jun-23,-,-,1541.6,-,-,-,0,1631.6 / 1451.6,20:31:49 CT
COMEX:GCZ2023,Dec-23,-,-,1561.4,-,-,-,0,1651.4 / 1471.4,20:31:49 CT
,,,,,,,,,,
