Date,Open,High,Low,Close,Change,Volume
2018-02-27,1337.57,1342.23,1336.48,1336.67,-0.9,1612
2018-02-28,1335.09,1341.14,1330.01,1331.65,-3.44,18111
2018-03-01,1333.63,1342.43,1326.53,1327.08,-6.55,34840
2018-03-02,1334.05,1336.75,1325.9,1327.44,-6.61,11385
2018-03-03,1336.81,1338.31,1328.48,1328.71,-8.1,15824
2018-03-04,1339.48,1346.08,1336.05,1337.1,-2.38,3009
2018-03-05,1337.47,1340.12,1334.15,1335.58,-1.89,13719
2018-03-06,1340.56,1341.45,1340.22,1340.63,0.07,20518
2018-03-07,1333.47,1337.67,1332.49,1332.61,-0.86,52220
2018-03-08,1341.95,1349.13,1339.33,1339.41,-2.54,31676
2018-03-09,1333.34,1342.48,1329.59,1330.97,-2.37,47550
2018-03-10,1338.69,1341.04,1334.35,1335.91,-2.78,14669
2018-03-11,1336.25,1340.83,1327.2,1328.21,-8.04,9824
2018-03-12,1336.38,1343.75,1334.79,1335.54,-0.84,24739
2018-03-13,1333.88,1338.13,1331.33,1332.26,-1.62,51584
2018-03-14,1337.73,1340.17,1337.62,1337.86,0.13,23112
2018-03-15,1342.13,1351.61,1333.87,1334.99,-7.14,24042
2018-03-16,1342.98,1345.09,1337.08,1339.0,-3.98,44918
2018-03-17,1337.05,1343.18,1328.9,1329.7,-7.35,3786
2018-03-18,1338.71,1343.44,1336.2,1337.01,-1.7,47931
2018-03-19,1339.54,1343.59,1332.66,1333.73,-5.81,15854
2018-03-20,1335.66,1335.85,1326.12,1326.68,-8.98,32699
2018-03-21,1336.27,1344.19,1334.89,1335.34,-0.93,15846
2018-03-22,1338.87,1347.63,1338.82,1339.75,0.88,8240
2018-03-23,1333.26,1340.3,1332.95,1333.99,0.73,50886
2018-03-24,1335.66,1339.79,1325.71,1326.69,-8.97,37241
2018-03-25,1337.68,1342.6,1332.74,1333.82,-3.86,47977
2018-03-26,1333.19,1342.04,1330.22,1331.95,-1.24,33711
2018-03-27,1336.1,1339.45,1327.8,1329.42,-6.68,33573
2018-03-28,1333.63,1339.7,1332.69,1334.57,0.94,14130
