Date,Open,High,Low,Close,Change,Volume
2018-04-01,1342.83,1344.3,1335.44,1337.06,-5.77,46353
2018-04-02,1335.07,1336.32,1333.12,1335.02,-0.05,17094
2018-04-03,1341.34,1351.05,1340.99,1341.57,0.23,24865
2018-04-04,1335.57,1337.39,1328.52,1329.95,-5.62,42233
2018-04-05,1339.84,1343.38,1329.88,1330.58,-9.26,14166
2018-04-06,1338.68,1340.02,1334.74,1335.05,-3.63,22499
2018-04-07,1335.51,1343.62,1329.27,1330.91,-4.6,36185
2018-04-08,1342.18,1342.48,1333.55,1335.14,-7.04,27515
2018-04-09,1338.28,1346.77,1333.54,1334.57,-3.71,24169
2018-04-10,1333.29,1340.87,1332.36,1334.16,0.87,25369
2018-04-11,1340.0,1346.56,1337.71,1339.03,-0.97,14202
2018-04-12,1339.38,1343.37,1332.0,1333.61,-5.77,11953
2018-04-13,1336.7,1338.19,1330.87,1332.08,-4.62,31993
2018-04-14,1339.79,1348.37,1338.94,1340.16,0.37,993
2018-04-15,1342.96,1351.56,1340.97,1341.34,-1.62,21197
2018-04-16,1338.95,1344.05,1329.97,1331.71,-7.24,47318
2018-04-17,1334.36,1340.39,1330.83,1331.79,-2.57,34519
2018-04-18,1338.89,1346.86,1330.95,1332.22,-6.67,25661
2018-04-19,1338.46,1344.25,1334.33,1336.28,-2.18,33738
2018-04-20,1339.31,1345.71,1333.57,1334.29,-5.02,42478
2018-04-21,1342.27,1351.65,1334.51,1336.47,-5.8,14142
2018-04-22,1335.57,1335.98,1335.23,1335.97,0.4,15491
2018-04-23,1340.4,1342.32,1336.92,1337.09,-3.31,12780
2018-04-24,1334.45,1338.86,1327.07,1328.43,-6.02,7307
2018-04-25,1338.53,1338.78,1332.63,1333.85,-4.68,29596
2018-04-26,1337.82,1341.35,1331.08,1331.83,-5.99,34038
2018-04-27,1335.99,1337.19,1333.3,1333.31,-2.68,12473
2018-04-28,1341.3,1347.29,1337.03,1337.82,-3.48,17365
2018-04-29,1336.73,1337.2,1331.4,1332.15,-4.58,21603
2018-04-30,1341.36,1344.66,1339.52,1341.05,-0.31,44903
2018-05-01,1341.87,1344.55,1340.62,1341.99,0.12,51803
2018-05-02,1334.63,1344.06,1330.59,1330.92,-3.71,27793
2018-05-03,1333.03,1342.95,1323.08,1323.53,-9.5,37175
2018-05-04,1335.67,1339.48,1331.2,1333.02,-2.65,29924
2018-05-05,1333.69,1336.1,1331.98,1332.7,-0.99,733
2018-05-06,1334.03,1339.2,1332.35,1332.99,-1.04,24046
2018-05-07,1337.06,1341.9,1329.44,1329.93,-7.13,25944
2018-05-08,1335.24,1340.2,1326.19,1326.42,-8.82,2333
2018-05-09,1342.42,1350.99,1336.27,1336.72,-5.7,30148
2018-05-10,1335.88,1341.59,1328.97,1330.35,-5.53,2668
2018-05-11,1342.25,1344.32,1333.43,1334.54,-7.71,46860
2018-05-12,1333.99,1343.15,1325.41,1326.02,-7.97,37706
2018-05-13,1338.91,1341.65,1334.76,1335.44,-3.47,45518
2018-05-14,1337.06,1340.53,1331.11,1332.02,-5.04,32137
2018-05-15,1334.98,1337.99,1332.11,1333.91,-1.07,34647
2018-05-16,1335.77,1339.0,1334.85,1335.74,-0.03,24817
2018-05-17,1337.57,1340.0,1336.06,1337.63,0.06,4321
2018-05-18,1341.59,1346.67,1333.36,1335.33,-6.26,3712
2018-05-19,1342.31,1350.46,1339.03,1339.3,-3.01,23638
2018-05-20,1340.82,1346.6,1337.49,1337.71,-3.11,30700
2018-05-21,1340.8,1344.92,1332.74,1334.4,-6.4,47766
2018-05-22,1333.62,1340.96,1325.01,1325.16,-8.46,40199
2018-05-23,1333.06,1339.08,1324.8,1325.36,-7.7,10990
2018-05-24,1338.87,1346.5,1338.24,1338.34,-0.53,37768
