Date,Open,High,Low,Close,Change,Volume
2017-05-01,1333.39,1341.87,1325.94,1327.63,-5.76,46811
2017-05-02,1334.44,1337.65,1333.94,1334.66,0.22,44469
2017-05-03,1334.88,1342.34,1331.72,1333.2,-1.68,36114
2017-05-04,1339.84,1346.22,1336.08,1336.47,-3.37,31442
2017-05-05,1340.93,1350.19,1337.24,1338.51,-2.42,19898
2017-05-06,1342.98,1348.62,1336.32,1338.0,-4.98,37449
2017-05-07,1341.28,1346.01,1337.06,1337.14,-4.14,26947
2017-05-08,1333.97,1337.96,1332.31,1333.95,-0.02,23973
2017-05-09,1333.83,1337.7,1326.22,1328.16,-5.67,5549
2017-05-10,1340.38,1342.99,1334.68,1335.01,-5.37,50786
2017-05-11,1342.34,1346.5,1336.53,1337.27,-5.07,2376
2017-05-12,1341.77,1347.86,1341.65,1342.7,0.93,11111
2017-05-13,1337.84,1338.66,1329.29,1330.93,-6.91,25711
2017-05-14,1338.22,1343.4,1337.13,1338.61,0.39,45347
2017-05-15,1342.02,1349.79,1339.43,1340.58,-1.44,12471
2017-05-16,1342.44,1348.67,1341.95,1343.09,0.65,25112
2017-05-17,1337.78,1342.38,1328.86,1330.42,-7.36,14644
2017-05-18,1336.14,1339.43,1334.18,1335.36,-0.78,29810
2017-05-19,1333.24,1333.42,1329.56,1329.95,-3.29,29546
2017-05-20,1333.25,1342.29,1329.36,1329.38,-3.87,20561
2017-05-21,1340.44,1340.75,1332.28,1333.64,-6.8,38650
2017-05-22,1341.3,1343.43,1332.79,1333.53,-7.77,15391
2017-05-23,1335.87,1343.06,1330.02,1331.41,-4.46,9623
2017-05-24,1339.38,1347.15,1337.57,1338.17,-1.21,5582
2017-05-25,1337.95,1338.89,1330.06,1330.16,-7.79,43675
2017-05-26,1333.69,1338.28,1325.24,1327.21,-6.48,45153
2017-05-27,1339.01,1348.57,1332.51,1332.55,-6.46,11323
2017-05-28,1335.07,1342.85,1330.27,1331.98,-3.09,15367
2017-05-29,1336.53,1338.96,1335.69,1336.89,0.36,26282
2017-05-30,1333.46,1334.83,1332.73,1334.7,1.24,33931
