Date,Open,High,Low,Close,Change,Volume
2015-06-01,1340.75,1342.97,1336.23,1337.99,-2.76,45332
2015-06-02,1333.31,1339.4,1325.29,1326.8,-6.51,37726
2015-06-03,1334.95,1343.19,1325.45,1327.23,-7.72,33449
2015-06-04,1340.72,1345.6,1337.82,1338.15,-2.57,47425
2015-06-05,1342.12,1343.94,1332.23,1333.93,-8.19,18160
2015-06-06,1334.89,1342.46,1329.49,1330.78,-4.11,13600
2015-06-07,1341.82,1345.67,1332.96,1334.55,-7.27,21798
2015-06-08,1337.57,1344.55,1329.87,1330.48,-7.09,2536
2015-06-09,1342.09,1348.81,1332.09,1333.33,-8.76,17637
2015-06-10,1338.03,1344.51,1335.31,1335.47,-2.56,45651
2015-06-11,1338.24,1340.44,1331.22,1332.33,-5.91,9722
2015-06-12,1339.08,1340.78,1333.74,1335.42,-3.66,47356
2015-06-13,1336.54,1340.83,1328.29,1328.43,-8.11,26302
2015-06-14,1339.6,1349.41,1335.42,1335.61,-3.99,24291
2015-06-15,1338.67,1341.84,1336.04,1337.23,-1.44,49798
2015-06-16,1338.05,1344.04,1334.88,1335.75,-2.3,39028
2015-06-17,1338.17,1338.7,1331.75,1333.35,-4.82,20662
2015-06-18,1340.05,1345.31,1339.48,1340.92,0.87,27603
2015-06-19,1337.74,1344.59,1336.98,1338.76,1.02,31233
2015-06-20,1337.17,1341.84,1332.7,1333.09,-4.08,587
2015-06-21,1342.32,1351.9,1336.45,1336.72,-5.6,19075
2015-06-22,1340.63,1342.9,1337.09,1337.41,-3.22,5239
2015-06-23,1339.29,1345.15,1336.63,1338.25,-1.04,51972
2015-06-24,1333.88,1334.62,1324.32,1325.52,-8.36,2804
2015-06-25,1340.02,1348.53,1338.35,1340.32,0.3,42647
2015-06-26,1338.86,1339.84,1335.81,1336.2,-2.66,36835
2015-06-27,1333.49,1338.37,1327.42,1328.43,-5.06,45760
2015-06-28,1335.21,1337.57,1330.61,1331.46,-3.75,32259
2015-06-29,1336.36,1345.82,1329.03,1330.64,-5.72,21407
2015-06-30,1334.48,1339.26,1325.23,1325.35,-9.13,17151
2015-07-01,1341.28,1349.99,1340.22,1341.26,-0.02,10744
2015-07-02,1342.29,1345.68,1333.42,1334.11,-8.18,18743
2015-07-03,1341.63,1348.07,1334.52,1336.03,-5.6,17876
2015-07-04,1342.77,1348.95,1342.25,1342.57,-0.2,44448
2015-07-05,1342.94,1350.8,1335.91,1337.57,-5.37,52226
2015-07-06,1334.72,1335.97,1333.78,1335.15,0.43,29040
2015-07-07,1336.59,1337.71,1332.66,1332.75,-3.84,10082
2015-07-08,1333.68,1337.61,1329.38,1330.08,-3.6,26948
2015-07-09,1336.47,1341.7,1335.61,1337.51,1.04,37472
2015-07-10,1339.08,1347.0,1334.45,1334.8,-4.28,39506
2015-07-11,1335.09,1342.95,1334.0,1334.35,-0.74,52218
2015-07-12,1342.74,1343.67,1334.89,1336.73,-6.01,13629
2015-07-13,1341.84,1350.05,1336.28,1336.79,-5.05,43001
2015-07-14,1335.15,1339.6,1327.11,1327.68,-7.47,48292
2015-07-15,1341.03,1348.01,1332.64,1333.85,-7.18,9633
2015-07-16,1336.33,1343.01,1330.58,1331.39,-4.94,31173
2015-07-17,1337.66,1340.08,1330.87,1331.87,-5.79,2913
2015-07-18,1339.03,1348.03,1335.27,1337.27,-1.76,3131
2015-07-19,1333.23,1341.73,1328.18,1329.82,-3.41,5702
2015-07-20,1342.26,1346.33,1335.52,1337.31,-4.95,1498
2015-07-21,1340.29,1343.02,1339.27,1340.36,0.07,6332
2015-07-22,1336.67,1340.4,1327.75,1328.87,-7.8,14157
