Date,Open,High,Low,Close,Change,Volume
2017-08-01,1337.12,1346.08,1336.2,1337.1,-0.02,50919
2017-08-02,1342.54,1346.09,1334.78,1335.29,-7.25,49508
2017-08-03,1335.54,1335.8,1334.03,1335.53,-0.01,19116
2017-08-04,1341.11,1350.24,1331.86,1332.26,-8.85,46413
2017-08-05,1340.15,1345.25,1339.03,1340.15,0.0,33596
2017-08-06,1333.56,1340.99,1328.65,1328.73,-4.83,33632
2017-08-07,1336.23,1339.16,1333.48,1335.09,-1.14,14233
2017-08-08,1334.95,1341.46,1325.48,1325.86,-9.09,49022
2017-08-09,1338.89,1340.33,1334.0,1334.0,-4.89,21625
2017-08-10,1340.05,1343.75,1335.59,1336.62,-3.43,6680
2017-08-11,1340.76,1350.62,1340.38,1342.19,1.43,26689
2017-08-12,1335.73,1340.95,1330.82,1332.33,-3.4,47576
2017-08-13,1337.4,1341.89,1335.37,1337.26,-0.14,16223
2017-08-14,1337.82,1342.42,1335.34,1337.33,-0.49,3280
2017-08-15,1339.04,1344.67,1336.03,1337.65,-1.39,32053
2017-08-16,1341.69,1348.54,1337.95,1339.39,-2.3,27488
2017-08-17,1335.47,1345.02,1328.41,1328.92,-6.55,25104
2017-08-18,1334.85,1342.25,1329.5,1329.96,-4.89,51292
2017-08-19,1339.55,1342.8,1332.52,1333.68,-5.87,27467
2017-08-20,1333.87,1342.01,1328.83,1329.49,-4.38,1772
2017-08-21,1335.41,1335.77,1330.15,1331.44,-3.97,12292
2017-08-22,1333.79,1338.9,1323.98,1324.51,-9.28,50009
2017-08-23,1336.62,1344.58,1330.09,1332.09,-4.53,13077
2017-08-24,1334.5,1340.08,1329.04,1330.34,-4.16,23181
2017-08-25,1333.84,1343.11,1328.42,1330.17,-3.67,20613
2017-08-26,1340.86,1344.12,1332.22,1333.16,-7.7,14903
2017-08-27,1338.87,1344.99,1332.39,1334.1,-4.77,7324
2017-08-28,1339.5,1349.06,1338.88,1340.45,0.95,30254
2017-08-29,1341.26,1341.8,1334.88,1336.87,-4.39,12438
2017-08-30,1337.27,1339.05,1335.67,1336.35,-0.92,5060
2017-08-31,1337.25,1338.13,1328.51,1328.65,-8.6,31066
2017-09-01,1338.89,1348.39,1337.37,1337.82,-1.07,41174
2017-09-02,1336.92,1343.34,1333.46,1334.24,-2.68,17866
2017-09-03,1334.57,1339.66,1325.01,1326.93,-7.64,6954
2017-09-04,1338.09,1345.93,1333.86,1335.14,-2.95,16907
2017-09-05,1339.5,1341.38,1329.54,1329.71,-9.79,5014
2017-09-06,1337.47,1346.43,1331.14,1332.75,-4.72,13766
2017-09-07,1341.72,1342.4,1333.86,1334.07,-7.65,20999
2017-09-08,1342.83,1351.39,1336.0,1337.77,-5.06,26952
2017-09-09,1339.89,1343.93,1336.87,1337.24,-2.65,7878
2017-09-10,1341.75,1342.1,1333.1,1334.06,-7.69,3862
2017-09-11,1334.66,1336.0,1329.16,1331.03,-3.63,13917
2017-09-12,1340.82,1347.86,1335.6,1336.89,-3.93,11264
2017-09-13,1333.61,1336.55,1330.41,1331.21,-2.4,9169
2017-09-14,1334.58,1344.2,1331.15,1331.72,-2.86,22211
2017-09-15,1335.3,1335.71,1335.07,1335.37,0.07,41876
2017-09-16,1339.4,1343.59,1334.15,1335.11,-4.29,25073
2017-09-17,1333.74,1338.88,1328.78,1330.72,-3.02,973
2017-09-18,1337.1,1345.64,1335.35,1336.47,-0.63,3507
2017-09-19,1341.07,1345.2,1338.8,1339.57,-1.5,32835
2017-09-20,1335.34,1342.85,1334.38,1335.91,0.57,50249
2017-09-21,1335.18,1341.26,1331.06,1332.91,-2.27,3614
2017-09-22,1335.77,1341.81,1328.74,1328.89,-6.88,33969
2017-09-23,1335.93,1339.51,1326.06,1327.95,-7.98,41296
2017-09-24,1340.48,1349.23,1333.78,1334.44,-6.04,5369
2017-09-25,1337.85,1341.63,1337.29,1337.38,-0.47,26095
2017-09-26,1334.93,1336.71,1327.71,1329.45,-5.48,26785
2017-09-27,1336.5,1338.88,1330.53,1330.89,-5.61,15448
2017-09-28,1337.98,1340.5,1331.19,1331.41,-6.57,23436
2017-09-29,1336.53,1344.74,1332.07,1332.79,-3.74,27369
2017-09-30,1337.19,1341.92,1327.66,1328.81,-8.38,22402
2017-10-01,1339.62,1345.34,1333.2,1333.74,-5.88,1112
2017-10-02,1333.6,1337.68,1326.6,1327.27,-6.33,19827
2017-10-03,1333.01,1340.24,1325.28,1326.86,-6.15,20019
2017-10-04,1338.89,1348.39,1334.17,1334.49,-4.4,6273
2017-10-05,1335.08,1344.58,1328.54,1328.93,-6.15,25824
2017-10-06,1335.91,1342.26,1330.18,1331.02,-4.89,44124
2017-10-07,1339.68,1344.57,1334.02,1334.09,-5.59,31126
2017-10-08,1335.28,1339.04,1334.36,1336.25,0.97,4457
2017-10-09,1342.14,1350.06,1332.46,1333.08,-9.06,34883
2017-10-10,1334.74,1343.53,1329.59,1330.13,-4.61,2594
2017-10-11,1334.44,1334.83,1324.51,1325.8,-8.64,36775
2017-10-12,1337.43,1340.11,1335.5,1337.48,0.05,24891
2017-10-13,1340.94,1342.57,1331.58,1333.22,-7.72,4929
2017-10-14,1339.75,1346.02,1337.49,1339.11,-0.64,41464
2017-10-15,1342.98,1348.58,1340.12,1341.23,-1.75,26990
2017-10-16,1335.19,1340.96,1331.61,1332.7,-2.49,7627
2017-10-17,1333.22,1333.46,1332.05,1333.43,0.21,31665
2017-10-18,1335.84,1338.94,1335.59,1336.79,0.95,32647
2017-10-19,1342.5,1343.18,1337.14,1338.74,-3.76,2120
2017-10-20,1342.36,1352.02,1340.67,1340.81,-1.55,28019
2017-10-21,1340.27,1346.07,1331.71,1332.6,-7.67,22556
2017-10-22,1336.17,1342.79,1335.99,1336.52,0.35,49354
2017-10-23,1340.14,1349.5,1331.0,1331.97,-8.17,24221
2017-10-24,1341.3,1348.54,1337.34,1338.27,-3.03,38790
2017-10-25,1333.29,1339.86,1323.47,1323.81,-9.48,48279
2017-10-26,1341.37,1341.46,1339.05,1339.96,-1.41,16954
2017-10-27,1337.06,1345.37,1335.18,1335.76,-1.3,5423
2017-10-28,1338.14,1344.56,1331.11,1331.97,-6.17,45270
2017-10-29,1341.38,1344.2,1334.32,1334.42,-6.96,17318
2017-10-30,1341.03,1346.24,1333.76,1334.59,-6.44,19880
2017-10-31,1342.69,1343.77,1338.26,1338.69,-4.0,47497
2017-11-01,1335.04,1335.4,1326.9,1327.69,-7.35,42453
2017-11-02,1334.93,1343.91,1333.09,1334.42,-0.51,26534
2017-11-03,1334.02,1335.79,1332.91,1334.6,0.58,7833
2017-11-04,1333.13,1335.31,1323.4,1324.53,-8.6,16212
2017-11-05,1342.27,1348.47,1336.35,1338.15,-4.12,7640
2017-11-06,1338.91,1340.2,1333.74,1335.39,-3.52,7264
2017-11-07,1337.98,1344.97,1330.78,1331.54,-6.44,8696
2017-11-08,1334.96,1341.26,1331.45,1333.01,-1.95,15726
2017-11-09,1342.93,1343.82,1337.02,1338.92,-4.01,24268
2017-11-10,1336.99,1338.97,1327.66,1328.03,-8.96,3417
2017-11-11,1336.09,1342.03,1328.18,1330.07,-6.02,32495
2017-11-12,1342.61,1345.66,1338.32,1338.48,-4.13,33948
2017-11-13,1338.06,1344.33,1328.59,1329.23,-8.83,15315
2017-11-14,1337.46,1344.85,1332.94,1334.43,-3.03,44395
2017-11-15,1336.18,1336.94,1328.38,1329.8,-6.38,13366
2017-11-16,1340.92,1350.78,1338.04,1339.09,-1.83,26988
2017-11-17,1341.2,1344.42,1331.38,1333.17,-8.03,1489
2017-11-18,1335.48,1340.21,1331.48,1331.93,-3.55,22943
2017-11-19,1337.43,1347.06,1333.44,1334.7,-2.73,18222
2017-11-20,1337.76,1338.35,1330.26,1331.77,-5.99,30236
2017-11-21,1337.2,1344.15,1330.18,1331.18,-6.02,10179
2017-11-22,1333.71,1339.75,1326.88,1328.18,-5.53,25159
2017-11-23,1337.03,1346.66,1328.34,1328.46,-8.57,29746
