Date,Open,High,Low,Close,Change,Volume
2018-10-01,1335.06,1338.56,1329.23,1331.0,-4.06,48871
2018-10-02,1341.63,1342.22,1339.97,1340.71,-0.92,27748
2018-10-03,1341.8,1350.61,1335.36,1335.48,-6.32,14647
2018-10-04,1339.61,1344.22,1330.75,1332.73,-6.88,24049
2018-10-05,1334.72,1342.48,1330.9,1332.32,-2.4,48124
2018-10-06,1334.96,1341.04,1332.26,1332.39,-2.57,13672
2018-10-07,1336.05,1344.04,1326.89,1328.3,-7.75,32422
2018-10-08,1334.54,1341.49,1328.3,1330.0,-4.54,39959
2018-10-09,1335.85,1340.26,1326.43,1327.34,-8.51,28714
2018-10-10,1333.02,1338.81,1330.45,1332.0,-1.02,37389
2018-10-11,1336.44,1341.58,1332.35,1334.13,-2.31,9867
2018-10-12,1336.4,1344.98,1334.9,1336.17,-0.23,4119
2018-10-13,1339.36,1344.12,1337.91,1339.65,0.29,38809
2018-10-14,1338.97,1341.05,1336.31,1337.94,-1.03,41054
2018-10-15,1338.07,1340.65,1334.85,1335.96,-2.11,933
2018-10-16,1342.46,1347.44,1341.14,1341.33,-1.13,9641
2018-10-17,1334.31,1342.87,1329.39,1330.02,-4.29,12033
2018-10-18,1342.84,1345.08,1334.94,1335.58,-7.26,37124
2018-10-19,1341.12,1345.37,1337.92,1339.63,-1.49,45559
2018-10-20,1336.95,1342.48,1328.85,1329.44,-7.51,26320
2018-10-21,1334.89,1341.45,1327.57,1328.03,-6.86,4883
2018-10-22,1336.02,1337.4,1333.71,1334.23,-1.79,49347
2018-10-23,1334.31,1344.06,1330.24,1331.33,-2.98,9107
2018-10-24,1333.29,1341.31,1332.7,1334.21,0.92,19868
2018-10-25,1334.06,1342.73,1329.93,1330.31,-3.75,8133
2018-10-26,1337.34,1342.25,1331.26,1331.7,-5.64,44273
2018-10-27,1342.09,1351.77,1332.21,1333.41,-8.68,10195
2018-10-28,1337.03,1339.16,1333.53,1334.51,-2.52,25779
2018-10-29,1335.24,1341.17,1333.22,1334.36,-0.88,41800
2018-10-30,1336.85,1344.07,1335.64,1335.65,-1.2,45118
2018-10-31,1336.71,1339.67,1336.11,1336.45,-0.26,4848
2018-11-01,1337.44,1340.95,1332.35,1333.32,-4.12,19579
2018-11-02,1334.94,1343.9,1328.96,1328.98,-5.96,836
2018-11-03,1342.56,1343.27,1338.62,1340.58,-1.98,24124
2018-11-04,1335.85,1344.14,1333.68,1333.82,-2.03,9517
2018-11-05,1334.32,1336.75,1330.64,1331.42,-2.9,12250
2018-11-06,1335.66,1335.97,1328.55,1330.35,-5.31,16845
2018-11-07,1335.99,1340.65,1334.55,1335.39,-0.6,13789
2018-11-08,1336.1,1336.26,1326.73,1327.43,-8.67,10615
2018-11-09,1335.07,1342.43,1330.8,1332.18,-2.89,6359
2018-11-10,1337.62,1344.25,1335.49,1336.27,-1.35,47131
2018-11-11,1335.35,1339.84,1325.52,1327.03,-8.32,50385
2018-11-12,1339.1,1342.02,1331.54,1333.17,-5.93,46033
2018-11-13,1338.61,1345.72,1336.97,1338.3,-0.31,16557
2018-11-14,1338.75,1341.45,1333.73,1334.49,-4.26,748
2018-11-15,1341.39,1346.09,1334.38,1334.53,-6.86,20164
2018-11-16,1341.38,1350.3,1332.8,1333.37,-8.01,17446
2018-11-17,1333.59,1335.06,1326.46,1327.33,-6.26,47869
2018-11-18,1335.26,1336.09,1333.26,1334.7,-0.56,48292
2018-11-19,1340.65,1344.72,1338.78,1340.14,-0.51,35663
2018-11-20,1333.07,1337.72,1328.45,1329.33,-3.74,48708
2018-11-21,1342.13,1351.55,1341.97,1341.99,-0.14,41542
2018-11-22,1340.89,1348.45,1332.69,1334.57,-6.32,27644
2018-11-23,1337.8,1347.03,1332.12,1332.65,-5.15,21084
2018-11-24,1337.64,1343.65,1331.91,1333.32,-4.32,19790
2018-11-25,1335.31,1336.65,1334.16,1335.05,-0.26,47876
2018-11-26,1341.73,1348.45,1334.33,1335.23,-6.5,36093
2018-11-27,1333.83,1342.18,1328.3,1328.92,-4.91,36298
2018-11-28,1334.85,1339.59,1328.24,1329.46,-5.39,39118
2018-11-29,1341.49,1345.23,1333.41,1333.59,-7.9,43707
2018-11-30,1340.8,1345.55,1337.96,1338.94,-1.86,17610
2018-12-01,1340.12,1341.18,1338.53,1339.11,-1.01,45721
2018-12-02,1334.45,1340.24,1327.23,1328.21,-6.24,40652
2018-12-03,1338.13,1340.23,1338.01,1338.5,0.37,35544
2018-12-04,1334.52,1341.18,1332.1,1332.99,-1.53,47652
2018-12-05,1335.12,1336.79,1328.2,1328.63,-6.49,3649
2018-12-06,1336.83,1346.58,1331.43,1333.1,-3.73,23692
2018-12-07,1341.16,1342.68,1337.04,1338.57,-2.59,13694
2018-12-08,1335.77,1338.45,1332.15,1332.65,-3.12,7665
2018-12-09,1342.93,1346.42,1340.37,1341.53,-1.4,37723
2018-12-10,1337.06,1345.15,1328.31,1329.75,-7.31,10431
2018-12-11,1334.61,1343.46,1326.66,1327.49,-7.12,26985
2018-12-12,1341.61,1351.3,1339.16,1339.82,-1.79,46380
2018-12-13,1333.62,1341.06,1323.83,1325.08,-8.54,25317
2018-12-14,1335.55,1337.61,1330.9,1332.27,-3.28,5776
2018-12-15,1339.53,1340.18,1332.06,1332.16,-7.37,9181
2018-12-16,1338.79,1340.93,1332.3,1334.09,-4.7,38680
2018-12-17,1341.1,1347.24,1332.89,1334.54,-6.56,9819
2018-12-18,1340.18,1349.7,1337.49,1337.82,-2.36,35668
2018-12-19,1340.89,1346.03,1333.04,1334.65,-6.24,227
2018-12-20,1341.83,1342.12,1339.93,1341.83,0.0,2865
2018-12-21,1337.27,1337.35,1333.66,1334.65,-2.62,44968
2018-12-22,1338.11,1343.74,1331.88,1332.62,-5.49,19350
2018-12-23,1341.17,1350.28,1338.32,1339.28,-1.89,46526
2018-12-24,1336.24,1345.6,1326.92,1328.65,-7.59,19108
2018-12-25,1337.4,1343.79,1336.86,1337.49,0.09,38449
2018-12-26,1340.62,1346.37,1335.52,1336.54,-4.08,48956
2018-12-27,1341.64,1348.42,1335.13,1335.71,-5.93,48975
