Date,Open,High,Low,Close,Change,Volume
2017-12-01,1541.53,1545.04,1540.96,1541.72,0.19,4973
2017-12-02,1533.63,1534.05,1532.06,1533.38,-0.25,29409
2017-12-03,1541.31,1548.24,1533.94,1534.36,-6.95,51327
2017-12-04,1540.04,1542.46,1532.38,1534.18,-5.86,32543
2017-12-05,1535.43,1539.06,1531.47,1533.19,-2.24,37372
2017-12-06,1537.03,1539.19,1531.33,1533.18,-3.85,28570
2017-12-07,1533.66,1534.57,1524.6,1525.82,-7.84,24244
2017-12-08,1535.26,1542.06,1533.52,1535.29,0.03,51747
2017-12-09,1533.92,1537.72,1530.6,1531.55,-2.37,24530
2017-12-10,1534.78,1542.97,1527.11,1528.32,-6.46,36724
2017-12-11,1539.73,1543.0,1537.79,1539.36,-0.37,40710
2017-12-12,1533.2,1539.01,1532.45,1533.1,-0.1,35620
2017-12-13,1538.93,1542.47,1531.81,1533.11,-5.82,35774
2017-12-14,1533.88,1536.45,1524.04,1524.37,-9.51,22874
2017-12-15,1536.21,1544.66,1533.17,1534.08,-2.13,20050
2017-12-16,1537.72,1546.64,1532.11,1532.33,-5.39,46745
2017-12-17,1536.08,1538.07,1527.54,1527.68,-8.4,17275
2017-12-18,1536.51,1540.92,1526.92,1528.45,-8.06,8836
2017-12-19,1540.43,1542.59,1534.3,1534.73,-5.7,4956
2017-12-20,1540.79,1548.87,1533.69,1534.77,-6.02,42439
2017-12-21,1534.43,1535.25,1529.0,1530.16,-4.27,47759
2017-12-22,1537.43,1543.62,1536.76,1536.87,-0.56,42298
2017-12-23,1537.14,1544.75,1529.95,1530.39,-6.75,29394
2017-12-24,1541.92,1545.53,1541.79,1542.44,0.52,9308
2017-12-25,1533.87,1534.18,1528.4,1528.61,-5.26,52412
2017-12-26,1533.74,1536.5,1524.39,1525.09,-8.65,25464
2017-12-27,1534.41,1544.25,1532.41,1532.85,-1.56,42214
2017-12-28,1542.33,1542.4,1536.23,1536.45,-5.88,37481
2017-12-29,1534.53,1536.81,1532.58,1532.69,-1.84,12254
2017-12-30,1537.09,1537.29,1527.59,1528.43,-8.66,9728
2017-12-31,1540.06,1547.39,1530.07,1531.9,-8.16,3296
2018-01-01,1539.64,1545.35,1530.1,1532.06,-7.58,39678
2018-01-02,1536.06,1539.01,1533.73,1534.42,-1.64,25018
2018-01-03,1536.23,1543.08,1533.8,1534.58,-1.65,18865
2018-01-04,1536.91,1542.96,1535.54,1537.32,0.41,51924
2018-01-05,1537.91,1546.13,1532.47,1533.1,-4.81,30320
2018-01-06,1533.78,1541.3,1528.43,1529.76,-4.02,13543
2018-01-07,1539.66,1547.12,1536.54,1537.43,-2.23,21550
2018-01-08,1542.49,1551.09,1532.82,1533.13,-9.36,44831
2018-01-09,1541.3,1547.16,1540.49,1542.03,0.73,14839
2018-01-10,1541.97,1545.94,1537.63,1538.22,-3.75,13331
2018-01-11,1542.25,1543.46,1534.3,1534.62,-7.63,194
2018-01-12,1533.9,1542.87,1524.86,1526.54,-7.36,39763
2018-01-13,1540.35,1545.68,1539.91,1541.08,0.73,590
2018-01-14,1538.24,1543.95,1537.56,1538.47,0.23,7341
2018-01-15,1540.62,1546.42,1532.24,1532.93,-7.69,2707
2018-01-16,1541.96,1551.43,1534.31,1535.79,-6.17,12424
2018-01-17,1541.05,1548.02,1536.3,1536.47,-4.58,43205
2018-01-18,1538.72,1548.47,1535.71,1537.11,-1.61,25680
2018-01-19,1535.74,1544.22,1529.31,1531.1,-4.64,5954
2018-01-20,1537.2,1541.7,1530.45,1531.72,-5.48,9139
2018-01-21,1534.55,1543.11,1529.88,1530.21,-4.34,15048
2018-01-22,1539.77,1543.03,1537.23,1537.65,-2.12,9099
2018-01-23,1536.11,1545.19,1527.36,1527.45,-8.66,7892
2018-01-24,1533.83,1539.71,1524.86,1525.55,-8.28,23340
2018-01-25,1535.39,1544.85,1534.01,1534.46,-0.93,6871
2018-01-26,1533.78,1535.91,1533.46,1534.65,0.87,28777
2018-01-27,1536.2,1542.76,1535.79,1536.24,0.04,35462
2018-01-28,1536.92,1544.32,1532.88,1533.22,-3.7,12811
2018-01-29,1536.43,1545.08,1528.15,1528.68,-7.75,22037
2018-01-30,1534.09,1542.1,1531.6,1532.74,-1.35,38061
2018-01-31,1534.85,1542.5,1529.08,1530.35,-4.5,32499
2018-02-01,1534.64,1542.51,1532.14,1533.13,-1.51,12480
2018-02-02,1534.35,1540.05,1527.2,1527.5,-6.85,47442
2018-02-03,1539.74,1548.74,1536.0,1537.03,-2.71,50293
2018-02-04,1536.57,1537.4,1529.55,1530.02,-6.55,8518
2018-02-05,1540.85,1549.4,1533.84,1534.19,-6.66,49660
2018-02-06,1540.78,1544.15,1539.5,1541.34,0.56,14595
2018-02-07,1536.03,1538.65,1528.7,1529.63,-6.4,48181
2018-02-08,1539.33,1542.67,1537.93,1538.42,-0.91,37411
2018-02-09,1537.16,1540.97,1533.1,1534.05,-3.11,11695
2018-02-10,1534.63,1543.57,1527.22,1527.66,-6.97,20517
2018-02-11,1542.43,1544.56,1533.33,1533.43,-9.0,26549
2018-02-12,1539.62,1546.91,1531.82,1531.88,-7.74,41721
2018-02-13,1533.38,1534.43,1533.2,1534.9,1.52,43798
2018-02-14,1539.93,1543.3,1537.91,1538.06,-1.87,20831
2018-02-15,1534.84,1536.45,1529.88,1530.85,-3.99,38862
2018-02-16,1541.74,1547.71,1539.98,1541.76,0.02,14292
2018-02-17,1538.97,1539.52,1531.2,1531.43,-7.54,887
2018-02-18,1541.74,1549.23,1538.65,1540.11,-1.63,16552
2018-02-19,1542.13,1546.91,1540.9,1540.98,-1.15,45609
2018-02-20,1537.72,1544.74,1536.68,1536.71,-1.01,2650
2018-02-21,1537.99,1545.99,1530.29,1530.58,-7.41,49267
2018-02-22,1534.7,1541.75,1531.81,1532.17,-2.53,46241
2018-02-23,1538.84,1542.64,1533.55,1534.25,-4.59,34783
2018-02-24,1540.75,1542.63,1538.4,1538.93,-1.82,25144
2018-02-25,1536.18,1538.44,1530.06,1530.45,-5.73,52644
2018-02-26,1542.79,1546.34,1536.95,1537.32,-5.47,41694
2018-02-27,1540.34,1540.87,1537.88,1539.11,-1.23,4263
2018-02-28,1539.23,1542.49,1532.05,1533.06,-6.17,43193
2018-03-01,1534.84,1536.81,1526.16,1526.78,-8.06,38970
2018-03-02,1540.45,1546.14,1532.55,1532.9,-7.55,36226
2018-03-03,1539.22,1546.17,1529.82,1530.71,-8.51,1821
2018-03-04,1541.62,1546.74,1539.43,1540.86,-0.76,8547
2018-03-05,1534.23,1540.7,1529.22,1530.2,-4.03,6818
2018-03-06,1542.44,1547.18,1540.82,1541.25,-1.19,28508
2018-03-07,1542.55,1544.11,1542.41,1544.21,1.66,37418
2018-03-08,1537.16,1542.06,1536.42,1538.17,1.01,51622
2018-03-09,1541.36,1549.83,1540.18,1541.03,-0.33,11314
2018-03-10,1542.07,1549.89,1536.14,1537.97,-4.1,11625
2018-03-11,1541.4,1548.23,1536.22,1537.56,-3.84,1142
2018-03-12,1534.64,1543.79,1532.7,1534.21,-0.43,33629
2018-03-13,1535.22,1537.44,1525.33,1525.87,-9.35,18922
2018-03-14,1535.96,1545.13,1531.14,1532.26,-3.7,50217
2018-03-15,1537.46,1543.06,1537.42,1537.61,0.15,42174
2018-03-16,1537.12,1545.99,1528.11,1528.21,-8.91,800
2018-03-17,1540.56,1542.98,1530.59,1531.25,-9.31,37984
2018-03-18,1535.96,1538.36,1527.42,1529.29,-6.67,24318
2018-03-19,1542.39,1551.27,1536.85,1538.56,-3.83,46923
2018-03-20,1540.98,1549.0,1538.98,1539.49,-1.49,38466
2018-03-21,1538.81,1548.66,1535.9,1536.31,-2.5,25985
2018-03-22,1535.69,1537.83,1533.61,1534.71,-0.98,17155
2018-03-23,1539.89,1544.3,1535.82,1536.13,-3.76,17022
2018-03-24,1541.66,1545.47,1531.69,1532.54,-9.12,21427
2018-03-25,1536.6,1544.32,1535.12,1535.89,-0.71,52127
2018-03-26,1541.84,1547.47,1538.14,1539.93,-1.91,35215
2018-03-27,1540.87,1547.2,1536.69,1537.5,-3.37,5688
2018-03-28,1539.79,1544.2,1536.01,1536.01,-3.78,39407
2018-03-29,1540.26,1545.49,1532.0,1532.9,-7.36,7178
2018-03-30,1539.56,1547.94,1531.72,1532.32,-7.24,38721
2018-03-31,1538.35,1539.18,1529.71,1531.06,-7.29,27662
2018-04-01,1535.16,1543.92,1530.06,1531.75,-3.41,1687
2018-04-02,1538.2,1547.73,1533.87,1535.6,-2.6,50030
2018-04-03,1538.22,1547.71,1537.97,1538.42,0.2,21412
2018-04-04,1540.5,1544.64,1536.0,1536.67,-3.83,38915
2018-04-05,1535.66,1545.0,1529.28,1529.82,-5.84,30630
2018-04-06,1537.04,1538.85,1535.24,1535.38,-1.66,26451
2018-04-07,1538.07,1538.08,1529.08,1530.54,-7.53,16025
2018-04-08,1540.77,1546.36,1534.77,1534.89,-5.88,44512
2018-04-09,1540.84,1546.16,1538.87,1540.36,-0.48,34638
2018-04-10,1533.32,1534.79,1529.16,1530.54,-2.78,15365
2018-04-11,1536.98,1544.32,1535.4,1536.06,-0.92,47800
2018-04-12,1534.87,1542.79,1528.74,1530.41,-4.46,30132
2018-04-13,1539.78,1542.0,1532.01,1532.95,-6.83,48056
2018-04-14,1534.44,1537.72,1530.76,1532.59,-1.85,35532
2018-04-15,1536.27,1538.49,1534.3,1534.81,-1.46,36765
2018-04-16,1534.47,1542.83,1525.78,1526.36,-8.11,50531
2018-04-17,1541.25,1542.84,1540.26,1541.03,-0.22,12886
2018-04-18,1542.07,1542.27,1536.82,1538.42,-3.65,28898
2018-04-19,1542.0,1542.65,1532.87,1534.81,-7.19,48657
2018-04-20,1533.12,1537.19,1525.61,1527.24,-5.88,2181
2018-04-21,1541.97,1547.55,1536.06,1536.71,-5.26,36326
2018-04-22,1540.76,1542.49,1536.01,1537.47,-3.29,36026
2018-04-23,1541.7,1548.29,1535.68,1536.82,-4.88,51066
2018-04-24,1536.98,1540.58,1529.81,1531.65,-5.33,29022
2018-04-25,1542.47,1550.73,1541.14,1541.24,-1.23,15158
2018-04-26,1541.52,1547.85,1533.16,1534.64,-6.88,33786
2018-04-27,1534.96,1544.35,1526.52,1527.41,-7.55,25135
2018-04-28,1540.59,1546.47,1536.6,1538.07,-2.52,647
2018-04-29,1540.57,1543.8,1536.9,1537.28,-3.29,39886
2018-04-30,1538.44,1538.89,1530.14,1530.92,-7.52,31794
2018-05-01,1533.4,1541.89,1526.47,1527.63,-5.77,5185
2018-05-02,1534.46,1544.35,1528.13,1529.9,-4.56,14291
2018-05-03,1537.15,1541.95,1530.06,1531.6,-5.55,28613
2018-05-04,1536.3,1544.89,1533.54,1534.75,-1.55,29900
2018-05-05,1536.13,1543.42,1529.65,1530.19,-5.94,23648
