Trade Date,Product Code,Product Type,Underlying Product Code,Put/Call,Strike Price,Contract Year,Contract Month,Contract Day,Settlement,Open Interest,Total Volume,Globex Open Price,Globex High Price,Globex Low Price,Globex Close Price,Delta,Implied Volatility,Last Trade Date
20170330,OG,O,GC,C,1050,2017,5,0,198,4,0,,,,,0.99999,0.1528578,20170425
20170330,OG,O,GC,C,1100,2017,5,0,148,1,0,,,153.2,,0.99908,0.1528578,20170425
20170330,OG,O,GC,C,1125,2017,5,0,123.1,1,0,,,128.3,,0.99482,0.1528578,20170425
20170330,OG,O,GC,C,1135,2017,5,0,113.1,2,0,,,110.9,,0.99015,0.1538464,20170425
20170330,OG,O,GC,C,1140,2017,5,0,108.2,38,0,,,106,,0.98976,0.1476023,20170425
20170330,OG,O,GC,C,1145,2017,5,0,103.2,2,0,,,101,,0.98933,0.1413573,20170425
20170330,OG,O,GC,C,1150,2017,5,0,98.2,104,0,,,96,,0.98465,0.1430632,20170425
20170330,OG,O,GC,C,1155,2017,5,0,93.3,11,0,,,91.1,,0.98397,0.1365246,20170425
20170330,OG,O,GC,C,1160,2017,5,0,88.3,2,0,,,86.1,,0.97903,0.1358961,20170425
20170330,OG,O,GC,C,1165,2017,5,0,83.4,111,0,,,81.2,,0.97802,0.1291092,20170425
20170330,OG,O,GC,C,1170,2017,5,0,78.5,13,0,,,76.3,,0.97266,0.1269754,20170425
20170330,OG,O,GC,C,1175,2017,5,0,73.6,145,0,,,71.4,,0.96703,0.1239246,20170425
20170330,OG,O,GC,C,1180,2017,5,0,68.7,73,0,,,66.6,,0.96106,0.1201541,20170425
20170330,OG,O,GC,C,1185,2017,5,0,63.9,176,0,,,61.8,,0.95073,0.1186237,20170425
20170330,OG,O,GC,C,1190,2017,5,0,59.1,48,0,,,57,,0.93994,0.1158741,20170425
20170330,OG,O,GC,C,1195,2017,5,0,54.4,706,0,,,52.4,,0.92147,0.1161811,20170425
20170330,OG,O,GC,C,1200,2017,5,0,49.9,1127,2,48,48.7,47.8,,0.90266,0.1146656,20170425
20170330,OG,O,GC,C,1205,2017,5,0,45.4,217,0,,,43.4,,0.88007,0.1132325,20170425
20170330,OG,O,GC,C,1210,2017,5,0,41.1,1467,1,,,39.1,,0.85117,0.112878,20170425
20170330,OG,O,GC,C,1215,2017,5,0,36.8,182,0,,,35,,0.81917,0.1119022,20170425
20170330,OG,O,GC,C,1220,2017,5,0,32.8,1712,14,,,31,,0.78396,0.110284,20170425
20170330,OG,O,GC,C,1225,2017,5,0,28.9,2569,23,30.5,32.8,27.3,,0.74361,0.1089004,20170425
20170330,OG,O,GC,C,1230,2017,5,0,25.3,1285,39,26.5,29,23.7,,0.69738,0.1083451,20170425
20170330,OG,O,GC,C,1235,2017,5,0,21.9,1158,1,24,24.4,20.3,,0.64777,0.107505,20170425
20170330,OG,O,GC,C,1240,2017,5,0,18.7,3031,4,21.4,21.5,17.3,,0.59517,0.1062909,20170425
20170330,OG,O,GC,C,1245,2017,5,0,15.8,844,51,16.4,19.1,14.6,,0.53969,0.1053624,20170425
20170330,OG,O,GC,C,1250,2017,5,0,13.3,4812,634,14.5,16.3,12.3,,0.4829,0.1053575,20170425
20170330,OG,O,GC,C,1255,2017,5,0,11,1672,414,13.9,14,10,,0.42621,0.1047725,20170425
20170330,OG,O,GC,C,1260,2017,5,0,9.1,3355,316,11.9,11.9,8.3,,0.37185,0.1051491,20170425
20170330,OG,O,GC,C,1265,2017,5,0,7.4,1867,285,9.9,9.9,6.8,,0.31973,0.1050678,20170425
20170330,OG,O,GC,C,1270,2017,5,0,6,1887,1165,7.8,8.2,5.6,,0.27201,0.1054637,20170425
20170330,OG,O,GC,C,1275,2017,5,0,4.9,2130,572,6.2,6.7,4.5,,0.23034,0.1066479,20170425
20170330,OG,O,GC,C,1280,2017,5,0,3.9,1733,415,4.9,5.7,3.7,,0.19149,0.1069842,20170425
20170330,OG,O,GC,C,1285,2017,5,0,3.1,854,84,4.5,4.6,3,,0.15801,0.1076334,20170425
20170330,OG,O,GC,C,1290,2017,5,0,2.5,3161,1084,3.4,3.8,2.4,,0.13074,0.1090302,20170425
20170330,OG,O,GC,C,1295,2017,5,0,2,1687,133,2.6,3.2,1.8,,0.10724,0.1102771,20170425
20170330,OG,O,GC,C,1300,2017,5,0,1.6,4189,566,2.3,2.7,1.6,,0.08766,0.1116265,20170425
20170330,OG,O,GC,C,1305,2017,5,0,1.3,1794,1180,1.9,2.2,1.3,,0.07218,0.1134587,20170425
20170330,OG,O,GC,C,1310,2017,5,0,1.1,1986,64,1.3,1.8,1.1,,0.06102,0.1163163,20170425
20170330,OG,O,GC,C,1315,2017,5,0,0.9,517,71,1.4,1.5,0.9,,0.05037,0.1182404,20170425
20170330,OG,O,GC,C,1320,2017,5,0,0.8,1840,147,1,1.3,0.8,,0.04409,0.1220836,20170425
20170330,OG,O,GC,C,1325,2017,5,0,0.6,1213,214,0.8,1.1,0.6,,0.03409,0.1219098,20170425
20170330,OG,O,GC,C,1330,2017,5,0,0.5,1275,32,0.7,0.9,0.6,,0.02844,0.1241334,20170425
20170330,OG,O,GC,C,1335,2017,5,0,0.5,687,42,0.5,0.5,0.5,,0.02726,0.1301442,20170425
20170330,OG,O,GC,C,1340,2017,5,0,0.4,487,16,0.5,0.7,0.4,,0.02207,0.1312582,20170425
20170330,OG,O,GC,C,1345,2017,5,0,0.3,655,52,0.5,0.6,0.4,,0.01696,0.1311389,20170425
20170330,OG,O,GC,C,1350,2017,5,0,0.3,3172,38,0.4,0.5,0.3,,0.01633,0.1366311,20170425
20170330,OG,O,GC,C,1355,2017,5,0,0.3,317,3,0.5,0.5,0.3,,0.01576,0.1420721,20170425
20170330,OG,O,GC,C,1360,2017,5,0,0.3,217,40,0.3,0.3,0.2,,0.01523,0.1474638,20170425
20170330,OG,O,GC,C,1365,2017,5,0,0.2,161,0,,,0.3,,0.01065,0.1445955,20170425
20170330,OG,O,GC,C,1370,2017,5,0,0.2,437,35,0.3,0.3,0.3,,0.01031,0.1496765,20170425
20170330,OG,O,GC,C,1375,2017,5,0,0.2,802,67,0.2,0.2,0.2,,0.01,0.1547168,20170425
20170330,OG,O,GC,C,1380,2017,5,0,0.2,192,31,0.2,0.2,0.2,,0.00971,0.1597177,20170425
20170330,OG,O,GC,C,1385,2017,5,0,0.2,293,5,0.2,0.2,0.2,,0.00944,0.1646806,20170425
20170330,OG,O,GC,C,1390,2017,5,0,0.2,222,0,,,,,0.00919,0.1696066,20170425
20170330,OG,O,GC,C,1395,2017,5,0,0.2,122,0,,,,,0.00895,0.1744967,20170425
20170330,OG,O,GC,C,1400,2017,5,0,0.2,1641,0,,,,,0.00873,0.1793519,20170425
20170330,OG,O,GC,C,1405,2017,5,0,0.2,162,0,,,,,0.00851,0.1841732,20170425
20170330,OG,O,GC,C,1410,2017,5,0,0.2,212,0,,,,,0.00832,0.1889614,20170425
20170330,OG,O,GC,C,1415,2017,5,0,0.2,599,0,,,,,0.00813,0.1937174,20170425
20170330,OG,O,GC,C,1420,2017,5,0,0.2,775,0,,,,,0.00795,0.1984419,20170425
20170330,OG,O,GC,C,1425,2017,5,0,0.2,514,0,,,,,0.00778,0.2031357,20170425
20170330,OG,O,GC,C,1430,2017,5,0,0.2,344,0,,,,,0.00762,0.2077994,20170425
20170330,OG,O,GC,C,1435,2017,5,0,0.1,97,0,,,,,0.00417,0.196384,20170425
20170330,OG,O,GC,C,1440,2017,5,0,0.1,211,0,,,,,0.00343,0.196384,20170425
20170330,OG,O,GC,C,1445,2017,5,0,0.1,84,0,,,,,0.0028,0.196384,20170425
20170330,OG,O,GC,C,1450,2017,5,0,0.1,2233,2,0.1,0.1,0.1,,0.00228,0.196384,20170425
20170330,OG,O,GC,C,1455,2017,5,0,0.1,100,0,,,,,0.00186,0.196384,20170425
20170330,OG,O,GC,C,1460,2017,5,0,0.1,234,2,0.1,0.1,0.1,,0.0015,0.196384,20170425
20170330,OG,O,GC,C,1465,2017,5,0,0.1,39,25,0.1,0.1,0.1,,0.00121,0.196384,20170425
20170330,OG,O,GC,C,1470,2017,5,0,0.1,27,0,,,,,0.00098,0.196384,20170425
20170330,OG,O,GC,C,1475,2017,5,0,0.1,43,0,,,,,0.00078,0.196384,20170425
20170330,OG,O,GC,C,1480,2017,5,0,0.1,30,0,,,,,0.00063,0.196384,20170425
20170330,OG,O,GC,C,1485,2017,5,0,0.1,77,0,,,,,0.0005,0.196384,20170425
20170330,OG,O,GC,C,1490,2017,5,0,0.1,134,10,0.1,0.1,0.1,,0.0004,0.196384,20170425
20170330,OG,O,GC,C,1500,2017,5,0,0.1,936,90,0.1,0.1,0.1,,0.00025,0.196384,20170425
20170330,OG,O,GC,C,1510,2017,5,0,0.1,47,0,,,,,0.00015,0.196384,20170425
20170330,OG,O,GC,C,1520,2017,5,0,0.1,959,0,,,,,0.00009,0.196384,20170425
20170330,OG,O,GC,C,1525,2017,5,0,0.1,1078,0,,,,,0.00007,0.196384,20170425
20170330,OG,O,GC,C,1530,2017,5,0,0.1,35,0,,,,,0.00006,0.196384,20170425
