MonYear,OneMonth,ThreeMonth,SixMonth,TwelveMonth
01/09/1989,9.063,9.125,9.063,9
01/10/1989,8.703,8.688,8.438,8.375
01/11/1989,8.813,8.5,8.313,8.25
01/12/1989,8.5,8.375,8.313,8.234
01/01/1990,8.313,8.375,8.438,8.625
01/02/1990,8.375,8.375,8.438,8.688
01/03/1990,8.375,8.5,8.688,8.938
01/04/1990,8.563,8.75,9,9.375
01/05/1990,8.313,8.375,8.5,8.75
01/06/1990,8.328,8.375,8.438,8.5
01/07/1990,8.063,8.047,8.047,8.109
01/08/1990,8.125,8.188,8.188,8.313
01/09/1990,8.297,8.375,8.422,8.5
01/10/1990,7.938,8.063,8.063,8.063
01/11/1990,9.125,8.516,8.375,8.188
01/12/1990,7.641,7.578,7.563,7.563
01/01/1991,6.969,7.125,7.125,7.313
01/02/1991,7.063,6.891,6.891,7.063
01/03/1991,6.328,6.375,6.531,7
01/04/1991,6.078,6.188,6.313,6.75
01/05/1991,5.953,6.063,6.188,6.625
01/06/1991,6.078,6.25,6.563,7
01/07/1991,5.953,6.063,6.313,6.625
01/08/1991,5.75,5.75,5.875,6
01/09/1991,5.5,5.688,5.688,5.813
01/10/1991,5.25,5.375,5.359,5.5
01/11/1991,4.813,5,4.938,5.063
01/12/1991,4.238,4.25,4.25,4.375
01/01/1992,4.141,4.188,4.25,4.625
01/02/1992,4.25,4.25,4.375,4.75
01/03/1992,4.25,4.375,4.547,5.063
01/04/1992,3.969,4.078,4.266,4.703
01/05/1992,4.016,4.078,4.25,4.75
01/06/1992,3.922,3.953,4.125,4.375
01/07/1992,3.391,3.453,3.625,3.75
01/08/1992,3.5,3.516,3.625,3.75
01/09/1992,3.188,3.281,3.313,3.375
01/10/1992,3.281,3.625,3.641,3.938
01/11/1992,3.172,3.891,3.891,4.141
01/12/1992,3.344,3.453,3.641,4.078
01/01/1993,3.203,3.313,3.438,3.75
01/02/1993,3.203,3.219,3.328,3.578
01/03/1993,3.203,3.266,3.375,3.625
01/04/1993,3.141,3.203,3.313,3.563
01/05/1993,3.203,3.313,3.438,3.75
01/06/1993,3.203,3.328,3.563,3.781
01/07/1993,3.188,3.313,3.563,3.781
01/08/1993,3.203,3.25,3.438,3.563
01/09/1993,3.188,3.375,3.375,3.531
01/10/1993,3.188,3.453,3.5,3.688
01/11/1993,3.578,3.5,3.516,3.781
01/12/1993,3.297,3.375,3.5,3.813
01/01/1994,3.141,3.25,3.391,3.703
01/02/1994,3.594,3.75,4,4.344
01/03/1994,3.703,3.938,4.25,4.75
01/04/1994,3.938,4.25,4.625,5.25
01/05/1994,4.375,4.625,5,5.516
01/06/1994,4.563,4.875,5.25,5.828
01/07/1994,4.516,4.875,5.328,5.828
01/08/1994,4.875,5,5.328,5.813
01/09/1994,5,5.438,5.688,6.188
01/10/1994,5.078,5.688,6,6.563
01/11/1994,6,6.078,6.438,7.078
01/12/1994,5.984,6.5,7,7.75
01/01/1995,6.078,6.328,6.688,7.25
01/02/1995,6.125,6.25,6.438,6.75
01/03/1995,6.141,6.266,6.438,6.75
01/04/1995,6.079,6.188,6.313,6.563
01/05/1995,6.063,6.063,6.063,6.055
01/06/1995,6.079,6,5.875,5.766
01/07/1995,5.875,5.891,5.875,5.875
01/08/1995,5.907,5.907,5.938,5.954
01/09/1995,5.922,5.993,5.985,5.969
01/10/1995,5.844,6.008,5.954,5.883
01/11/1995,6.032,5.907,5.735,5.672
01/12/1995,5.735,5.657,5.563,5.454
01/01/1996,5.469,5.438,5.336,5.196
01/02/1996,5.352,5.313,5.289,5.274
01/03/1996,5.454,5.493,5.516,5.704
01/04/1996,5.454,5.485,5.422,5.829
01/05/1996,5.446,5.516,5.641,5.977
01/06/1996,5.516,5.625,5.844,6.172
01/07/1996,5.493,5.704,5.922,6.243
01/08/1996,5.43,5.539,5.743,6.055
01/09/1996,5.438,5.649,5.75,5.985
01/10/1996,5.375,5.516,5.579,5.719
01/11/1996,5.391,5.524,5.547,5.696
01/12/1996,5.547,5.586,5.618,5.789
01/01/1997,5.461,5.594,5.711,5.954
01/02/1997,5.469,5.555,5.68,5.954
01/03/1997,5.719,5.805,5.961,6.282
01/04/1997,5.704,5.883,6.079,6.454
01/05/1997,5.711,5.829,6.008,6.289
01/06/1997,5.719,5.813,5.938,6.141
01/07/1997,5.641,5.735,5.892,5.977
01/08/1997,5.68,5.735,5.86,6.079
01/09/1997,5.672,5.782,5.852,6.008
01/10/1997,5.633,5.766,5.805,5.922
01/11/1997,5.766,6.016,6.039,6.11
01/12/1997,5.852,5.985,6.008,5.669
01/01/1998,5.704,5.758,6.039,5.774
01/02/1998,5.789,5.782,5.782,5.836
01/03/1998,5.719,5.758,5.797,5.914
01/04/1998,5.688,5.766,5.868,6.024
01/05/1998,5.696,5.735,5.805,5.93
01/06/1998,5.748,5.785,5.871,5.94
01/07/1998,5.696,5.758,5.822,5.897
01/08/1998,5.727,5.713,5.692,5.648
01/09/1998,5.4,5.422,5.359,5.186
01/10/1998,5.277,5.351,5.131,4.865
01/11/1998,5.048,5.377,5.28,5.244
01/12/1998,5.118,5.172,5.172,5.213
01/01/1999,4.946,5.032,5.036,5.108
01/02/1999,5.003,5.065,5.168,5.405
01/03/1999,4.94,5.009,5.083,5.307
01/04/1999,4.902,4.993,5.075,5.303
01/05/1999,4.93,5.053,5.193,5.503
01/06/1999,5.223,5.355,5.633,5.803
01/07/1999,5.178,5.32,5.68,5.836
